Light Intensity, Ch A vs Actual Angular Position, Run #4
Actual Angular Position (  )	Light Intensity, Ch A ( % max )
1.975	-0.1
1.979	-0.2
1.985	-0.3
1.990	-0.2
1.997	-0.1
2.002	-0.1
2.007	-0.2
2.012	-0.1
2.017	-0.2
2.022	-0.1
2.027	-0.2
2.034	-0.1
2.041	-0.1
2.048	1.1
2.053	1.6
2.057	0.7
2.060	0.1
2.064	0.0
2.068	-0.1
2.073	-0.1
2.079	-0.1
2.086	-0.1
2.094	-0.1
2.100	-0.2
2.105	-0.1
2.109	-0.1
2.111	-0.1
2.115	-0.2
2.120	-0.2
2.124	-0.1
2.128	-0.2
2.131	-0.1
2.134	-0.2
2.135	-0.1
2.138	-0.1
2.140	-0.1
2.144	-0.1
2.148	-0.1
2.153	-0.2
2.158	-0.2
2.162	-0.2
2.166	-0.2
2.170	-0.2
2.175	-0.2
2.179	-0.2
2.183	-0.1
2.187	-0.2
2.191	-0.2
2.194	-0.2
2.197	-0.2
2.200	-0.2
2.203	-0.2
2.207	-0.2
2.211	-0.1
2.215	-0.2
2.219	-0.2
2.222	-0.1
2.224	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.3
2.225	-0.2
2.225	-0.3
2.225	-0.3
2.225	-0.3
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.225	-0.2
2.225	-0.2
2.225	-0.1
2.225	-0.1
2.225	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.3
2.224	-0.3
2.224	-0.2
2.224	-0.3
2.224	-0.3
2.224	-0.2
2.224	-0.3
2.224	-0.3
2.224	-0.3
2.224	-0.1
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.1
2.224	-0.1
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.1
2.224	-0.1
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.3
2.224	-0.2
2.224	-0.1
2.224	-0.1
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.1
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.1
2.224	-0.2
2.224	-0.1
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.2
2.224	-0.3
2.224	-0.3
2.224	-0.3
2.224	-0.3
2.224	-0.3
